Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Status
"silk-column-dress","Шовкова колона","<p>Довга колона з важкого шовку з чистою лінією та прихованою застібкою. Тиха розкіш для вечора та дня.</p><p><strong>Матеріали:</strong> 100% шовк. Підкладка: 100% віскоза.</p><p><strong>Догляд:</strong> Лише хімчистка. Зберігати на плічках у чохлі.</p>","YANELLE","dresses","new, featured, dresses",TRUE,"Size","XS","Color","Чорний","yn-001-1A1A1A-xs",8,deny,manual,14500.00,"",TRUE,TRUE,"https://images.unsplash.com/photo-1595777457583-95e059d581b8?auto=format&fit=crop&w=1200&q=80",1,FALSE,active
"silk-column-dress","","","","","","","Size","S","Color","Чорний","yn-001-1A1A1A-s",8,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","Size","M","Color","Чорний","yn-001-1A1A1A-m",10,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","Size","L","Color","Чорний","yn-001-1A1A1A-l",8,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","Size","XL","Color","Чорний","yn-001-1A1A1A-xl",8,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","Size","XS","Color","Слонова кістка","yn-001-F5F0E8-xs",8,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","Size","S","Color","Слонова кістка","yn-001-F5F0E8-s",8,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","Size","M","Color","Слонова кістка","yn-001-F5F0E8-m",10,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","Size","L","Color","Слонова кістка","yn-001-F5F0E8-l",8,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","Size","XL","Color","Слонова кістка","yn-001-F5F0E8-xl",8,deny,manual,14500.00,"",TRUE,TRUE,"","",FALSE,""
"silk-column-dress","","","","","","","","","","","","","","","","","","","https://images.unsplash.com/photo-1566174053879-31528523f8ae?auto=format&fit=crop&w=1200&q=80",2,"",""
"cashmere-wrap-dress","Кашемірова сукня-обгортка","<p>М'яка обгортка з кашеміру з поясом. Силует, що повторює тіло без зайвого.</p><p><strong>Матеріали:</strong> 90% кашемір, 10% шовк.</p><p><strong>Догляд:</strong> Лише хімчистка. Зберігати на плічках у чохлі.</p>","YANELLE","dresses","new, featured, dresses",TRUE,"Size","XS","Color","Верблюд","yn-002-C4A484-xs",8,deny,manual,16800.00,"",TRUE,TRUE,"https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?auto=format&fit=crop&w=1200&q=80",1,FALSE,active
"cashmere-wrap-dress","","","","","","","Size","S","Color","Верблюд","yn-002-C4A484-s",8,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","Size","M","Color","Верблюд","yn-002-C4A484-m",10,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","Size","L","Color","Верблюд","yn-002-C4A484-l",8,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","Size","XL","Color","Верблюд","yn-002-C4A484-xl",8,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","Size","XS","Color","Камінь","yn-002-A8A29E-xs",8,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","Size","S","Color","Камінь","yn-002-A8A29E-s",8,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","Size","M","Color","Камінь","yn-002-A8A29E-m",10,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","Size","L","Color","Камінь","yn-002-A8A29E-l",8,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","Size","XL","Color","Камінь","yn-002-A8A29E-xl",8,deny,manual,16800.00,"",TRUE,TRUE,"","",FALSE,""
"cashmere-wrap-dress","","","","","","","","","","","","","","","","","","","https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=1200&q=80",2,"",""
"bias-cut-satin-dress","Атласна сукня по косій","<p>Легка атласна сукня, зрізана по косій. Обмежена серія ательє.</p><p><strong>Матеріали:</strong> 100% ацетатний атлас.</p><p><strong>Догляд:</strong> Лише хімчистка. Зберігати на плічках у чохлі.</p>","YANELLE","dresses","limited, featured, limited, dresses",TRUE,"Size","XS","Color","Шампань","yn-003-E8D5B7-xs",3,deny,manual,15200.00,"",TRUE,TRUE,"https://images.unsplash.com/photo-1566174053879-31528523f8ae?auto=format&fit=crop&w=1200&q=80",1,FALSE,active
"bias-cut-satin-dress","","","","","","","Size","S","Color","Шампань","yn-003-E8D5B7-s",3,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","Size","M","Color","Шампань","yn-003-E8D5B7-m",5,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","Size","L","Color","Шампань","yn-003-E8D5B7-l",3,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","Size","XL","Color","Шампань","yn-003-E8D5B7-xl",3,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","Size","XS","Color","Чорний","yn-003-1A1A1A-xs",3,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","Size","S","Color","Чорний","yn-003-1A1A1A-s",3,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","Size","M","Color","Чорний","yn-003-1A1A1A-m",5,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","Size","L","Color","Чорний","yn-003-1A1A1A-l",3,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","Size","XL","Color","Чорний","yn-003-1A1A1A-xl",3,deny,manual,15200.00,"",TRUE,TRUE,"","",FALSE,""
"bias-cut-satin-dress","","","","","","","","","","","","","","","","","","","https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?auto=format&fit=crop&w=1200&q=80",2,"",""
"tailored-wool-suit","Вовняний костюм","<p>Двокомпонентний костюм з італійської вовни. Жакет з м'яким плечем і прямі штани.</p><p><strong>Матеріали:</strong> 100% вовна. Підкладка: 100% купро.</p><p><strong>Догляд:</strong> Лише хімчистка. Зберігати на плічках у чохлі.</p>","YANELLE","suits","featured, suits",TRUE,"Size","XS","Color","Чорний","yn-004-1A1A1A-xs",8,deny,manual,18900.00,"",TRUE,TRUE,"https://images.unsplash.com/photo-1594938298603-c8148c4dae35?auto=format&fit=crop&w=1200&q=80",1,FALSE,active
"tailored-wool-suit","","","","","","","Size","S","Color","Чорний","yn-004-1A1A1A-s",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","M","Color","Чорний","yn-004-1A1A1A-m",10,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","L","Color","Чорний","yn-004-1A1A1A-l",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","XL","Color","Чорний","yn-004-1A1A1A-xl",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","XS","Color","Камінь","yn-004-A8A29E-xs",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","S","Color","Камінь","yn-004-A8A29E-s",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","M","Color","Камінь","yn-004-A8A29E-m",10,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","L","Color","Камінь","yn-004-A8A29E-l",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","XL","Color","Камінь","yn-004-A8A29E-xl",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","XS","Color","Темно-синій","yn-004-1E2A44-xs",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","S","Color","Темно-синій","yn-004-1E2A44-s",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","M","Color","Темно-синій","yn-004-1E2A44-m",10,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","L","Color","Темно-синій","yn-004-1E2A44-l",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","Size","XL","Color","Темно-синій","yn-004-1E2A44-xl",8,deny,manual,18900.00,"",TRUE,TRUE,"","",FALSE,""
"tailored-wool-suit","","","","","","","","","","","","","","","","","","","https://images.unsplash.com/photo-1507679799987-c73779587ccf?auto=format&fit=crop&w=1200&q=80",2,"",""
"fluid-trouser-suit","Рідкий брючний костюм","<p>Костюм з крепу з розслабленим кроєм. Для днів, коли структура стає м'якшою.</p><p><strong>Матеріали:</strong> 97% віскоза, 3% еластан.</p><p><strong>Догляд:</strong> Лише хімчистка. Зберігати на плічках у чохлі.</p>","YANELLE","suits","sale, suits",TRUE,"Size","XS","Color","Тауп","yn-005-8B7E74-xs",8,deny,manual,16200.00,19800.00,TRUE,TRUE,"https://images.unsplash.com/photo-1552374196-1ab2a1c593e8?auto=format&fit=crop&w=1200&q=80",1,FALSE,active
"fluid-trouser-suit","","","","","","","Size","S","Color","Тауп","yn-005-8B7E74-s",8,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","Size","M","Color","Тауп","yn-005-8B7E74-m",10,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","Size","L","Color","Тауп","yn-005-8B7E74-l",8,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","Size","XL","Color","Тауп","yn-005-8B7E74-xl",8,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","Size","XS","Color","Чорний","yn-005-1A1A1A-xs",8,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","Size","S","Color","Чорний","yn-005-1A1A1A-s",8,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","Size","M","Color","Чорний","yn-005-1A1A1A-m",10,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","Size","L","Color","Чорний","yn-005-1A1A1A-l",8,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","Size","XL","Color","Чорний","yn-005-1A1A1A-xl",8,deny,manual,16200.00,19800.00,TRUE,TRUE,"","",FALSE,""
"fluid-trouser-suit","","","","","","","","","","","","","","","","","","","https://images.unsplash.com/photo-1487222477894-8943e31ef7b2?auto=format&fit=crop&w=1200&q=80",2,"",""
"double-face-coat","Двостороннє пальто","<p>Двостороннє пальто з кашеміру без зайвих швів. Архітектура спокою.</p><p><strong>Матеріали:</strong> 100% кашемір, двостороння тканина.</p><p><strong>Догляд:</strong> Лише хімчистка. Зберігати на плічках у чохлі.</p>","YANELLE","outerwear","limited, featured, limited, outerwear",TRUE,"Size","XS","Color","Верблюд","yn-006-C4A484-xs",3,deny,manual,24500.00,"",TRUE,TRUE,"https://images.unsplash.com/photo-1539533018447-63fcce2678e3?auto=format&fit=crop&w=1200&q=80",1,FALSE,active
"double-face-coat","","","","","","","Size","S","Color","Верблюд","yn-006-C4A484-s",3,deny,manual,24500.00,"",TRUE,TRUE,"","",FALSE,""
"double-face-coat","","","","","","","Size","M","Color","Верблюд","yn-006-C4A484-m",5,deny,manual,24500.00,"",TRUE,TRUE,"","",FALSE,""
"double-face-coat","","","","","","","Size","L","Color","Верблюд","yn-006-C4A484-l",3,deny,manual,24500.00,"",TRUE,TRUE,"","",FALSE,""
